"Path","Exists","BlobHash","SizeBytes","FileName","BackupStyle","BackupReason","ProjectIncluded","TextReferenced","ReferenceEvidence","DuplicateCount","CanonicalPath","Classification","ProposedAction"
"Accounts/Reports/IGroup/Reports/StockRegisterNew.rpt","True","20e0519c59ec8f156b26675d43c1c229ca6741fe","17408","StockRegisterNew.rpt","False","","False","False","","3","IGroup/Reports/StockRegisterNew.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/StockRegisterPharmacy.rpt","True","93308d451ca0eed455dd4091722a98b71988fdaa","21504","StockRegisterPharmacy.rpt","False","","False","False","","3","IGroup/Reports/StockRegisterPharmacy.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/StockRegisterWithBarCodes.rpt","True","73ec0bd2bf918aef5fda6af4e89fc32f308bcabc","21504","StockRegisterWithBarCodes.rpt","False","","False","False","","3","IGroup/Reports/StockRegisterWithBarCodes.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stocks Consumption New System Test.rpt","True","1663420ef8dad3371406964fa4d0320577a80e02","67072","Stocks Consumption New System Test.rpt","True","Archive-style filename","False","False","","1","","Archive-style filename retained pending runtime validation","Retain"
"Accounts/Reports/IGroup/Reports/Stocks Consumption New System.rpt","True","0a50c3755e72f4d784291565145ef61d8e5f308b","65536","Stocks Consumption New System.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/IGroup/Reports/SupplierWisePurchaseHistory.rpt","True","72b0bdd847a7c600d49d88fea39b860b1ba0d52c","49152","SupplierWisePurchaseHistory.rpt","False","","False","False","","2","IGroup/Reports/SupplierWisePurchaseHistory.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/test.rpt","True","f2793e454a11cf0835b9d916d310b9b3291180fd","57856","test.rpt","True","Archive-style filename","False","False","","1","","Archive-style filename retained pending runtime validation","Retain"
"Accounts/Reports/IGroup/Reports/test2.rpt","True","0b6051558102259bf49df8d927868dc947212ccf","18432","test2.rpt","True","Archive-style filename","False","False","","1","","Archive-style filename retained pending runtime validation","Retain"
"Accounts/Reports/IGroup/Reports/TestChartOfAccounts.rpt","True","a2ed36d02dd25ccf0eb2a09dab07d347f858d8c6","48128","TestChartOfAccounts.rpt","False","","False","False","","3","IGroup/Reports/TestChartOfAccounts.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Testing/Total Cash Income & Vat Summary Report Per Department.rpt","True","79390acacbc746fad2346beb6bdacf028edfa21a","53248","Total Cash Income & Vat Summary Report Per Department.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
